Fri Feb 28 2025 12:08:58 GMT-0500 (Eastern Standard Time) - Run Time: 3538ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In D, M, T, U, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
           1          48          3
           1          59          8
           1          67          5
           1          82          6
           1         146         30
           1         209         19
           1         239          9
           1         249          6
           1         257         16
           2           9         29
           4           2          8
           4          34         15
           4          40         69
           4         273          8
           4         281         25
           5         221         10
           5         270         27
           5         277          7
           9          71          7
          14          14         30
          14         209         20
          15           9         19
          15          52        110
          15          82         72
          15         227         26
          15         279         34
          16          59         94
          16         120         11
          16         270         16
          17           2         12
          17          46          7
          17          77          3
          17         266          6
          17         277         64
          18          23          3
          18          66         12
          18         191          6
          19          73          3
          20           6          3
          20           9          3
          20          37         13
          20         187        145
          20         206          3
          20         227          3
          20         270         12
          21          65         13
          21          89         19
          21         217         17
          21         283         19
          22           2         19
          22           9         19
          22          24         33
          22          45          3
          22          54          5
          22          66          3
          22         227         81
          22         257         12
          22         273         19
          23           9          5
          23          34         12
          23          67         44
          23          69         81
          23         227         81
          23         540          5
          24          19          6
          24          66         11
          24         205        135
          24         211          6
          25          18         12
          25          22         16
          25          25         23
          25          89         36
          25          94          4
          25         204          3
          25         625         11
          26           6         15
          26           9         26
          26          97         22
          26         107         25
          26         142         32
          26         266         10
          26         284         35
          26         421         11
          29         272         28
          29         540         16
          30         121         22
          30         227         25
          31           5         11
          31          29          6
          34          45         30
          34          76         13
          34         112         36
          34         228         27
          35           1         29
          35          26         17
          35          38         18
          35         103         17
          36          86          9
          36         108         18
          36         189          4
          36         254         16
          36         315         18
          36         605         58
          37          89         27
          37         223         37
          37         270         24
          38          42          4
          38          67         21
          38         227         62
          38         525          4
          39          70          6
          39         115         35
          39         254         33
          40          77         46
          40         157         16
          40         262         15
          40         271         18
          40         490         17
          41          21          4
          41         191         13
          41         208          6
          42         189         35
          42         217         20
          43           2         17
          43          17          8
          43          37         10
          43          38         18
          43          91         26
          44          14         19
          44          73          3
          44          82          3
          44         170          3
          44         205          7
          44         227         45
          44         426         19
          45          39         23
          45          65         12
          45         195         17
          45         205         13
          45         231         13
          45         481         21
          46          45          5
          46         278          5
          46         282          9
          46         391          8
          47         190         71
          47         284         13
          48         286         55
          50         108         42
          50         254         12
          51          29          6
          51          42         35
          51          74         52
          51         227          3
          52          15         46
          52          66         17
          52         252         12
          53         204          9
          53         335          6
          54          86          9
          54         203          8
          54         421         15
          55          15        110
          55          70         31
          55          72          4
          55          74         22
          55         105         19
          55         239          4
          56         193          8
          56         203         33
          57           1          5
          58          66          5
          58         283         14
          58         303          3
          59          50         17
          60           2          8
          60          89         17
          60         112         18
          60         335         16
          61           6          5
          61           9         13
          61          82         14
          61         225          7
          61         285         13
          61         542         18
          62          23         16
          62          86          9
          62         147         21
          62         314         33
          63          58          4
          63          62          8
          63          89         14
          64          90         33
          64         189         10
          64         195          4
          64         270         29
          64         287         18
          64         473          4
          65           4         27
          65           6         14
          65          90         39
          65         205         13
          66           9         29
          66          38         31
          66         102         11
          66         120         66
          66         210         26
          66         222         40
          66         268          4
          66         272         29
          66         488         34
          66         590         16
          67           4         15
          67          48          5
          67         103         11
          67         271          7
          67         284         13
          67         310          3
          68          85          4
          68         254         23
          69          46         26
          69         236         23
          69         599          6
          70          65          4
          71          11         28
          71          45          4
          71          53          7
          71          55          8
          71          70         18
          71          71          3
          71          93         39
          71          95         24
          71         169          3
          71         205         21
          71         206          3
          71         212         13
          71         419         13
          71         480          4
          72           2          5
          72          43         17
          72          95          3
          72         120         49
          72         169         43
          72         177          4
          72         197          5
          72         205         21
          73          89         28
          73          94          5
          73         170          4
          73         205         27
          73         240          6
          73         277         31
          74          25          4
          74          46         11
          74          55         22
          74          98         31
          74         219          4
