Fri Feb 28 2025 12:10:28 GMT-0500 (Eastern Standard Time) - Run Time: 3503ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In C, O, E)

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
           6         254         57
           7           2         38
           7          82         32
           7         120          3
           9           7         38
           9          29         19
           9          47         60
          14          15         11
          14         120         24
          15           7         10
          15          14         17
          15          37         26
          16          14          3
          16          20          3
          16         225         37
          17          24          5
          17          64          4
          17          69         17
          17         104          6
          17         262          6
          17         270         22
          17         272          5
          18           2         21
          18         225         30
          19          20          3
          19          61          6
          19          67          4
          20          69          3
          21          15         23
          21          36         12
          21          42         20
          21          43        102
          21          44         42
          21          48          5
          21         187         30
          21         225        121
          21         272         23
          22          48         33
          22         260          5
          23          17          5
          23          43         42
          23          73          5
          24          22         15
          24          36         32
          24          41          5
          25          14         39
          25          50         14
          25          55         22
          25          56         19
          25          57         23
          25          69         26
          25          90         57
          25         270          5
          25         272         15
          26           2         10
          26           7         31
          26          38         10
          26          93         15
          26         254          9
          27         280         74
          28          11         36
          29           7         20
          29          11         18
          29          25         20
          29          81         16
          30          37         29
          30          53         16
          34          55         26
          34         254         18
          35         249          4
          36          48         12
          36          67          4
          36          90         12
          36          98         30
          36         108         13
          37          63         18
          37         272         15
          38           7          3
          38          36         22
          38          48         30
          38          67          4
          38         222         32
          39          50         18
          39          66         16
          39          79         18
          39         270          9
          40          35         20
          41           9         19
          41          81          8
          41          96         55
          41         270         17
          42          75         39
          42          98         33
          42         285         72
          43         200         56
          43         540          6
          44          55         14
          44          73         24
          45          55         22
          45          69         81
          46          74         26
          46         107         14
          46         286         40
          47          77         11
          47         106         14
          48          67          4
          48          77         29
          48         104         20
          49          69         52
          49          89         29
          50          69         24
          50         120         24
          51          16        103
          51          36         22
          51          45         51
          51          76         28
          52           9         25
          53          64          4
          53          66         19
          54          41          5
          54          58          5
          55           6          4
          55          36         60
          56         251         27
          57          24          3
          57          55          4
          58          62         23
          58         105         35
          59          90         15
          60          53         51
          61          66          5
          61          80        128
          61          81         33
          61         112         14
          62          57         18
          62          86         24
          62         112         14
          64          37          4
          64          76         37
          65          89         22
          65         266         55
          66          25          5
          66          69         26
          66          73         17
          66          89         15
          66         105         45
          67          52         67
          67          58         47
          67          62         14
          67          70         31
          67          73         59
          67          76         34
          67          80         11
          67          93         37
          67         103         21
          67         119         22
          67         285         18
