Fri Feb 28 2025 12:06:52 GMT-0500 (Eastern Standard Time) - Run Time: 3348ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In B, G, J, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
           1          54          4
           1         270         19
           5         277          3
           6          59          4
          14          55         15
          14          85         17
          15          73         20
          15          93         23
          15         205         18
          15         268          7
          16          36         17
          16          43         12
          16          75          3
          17          66         16
          17         108         76
          17         203         23
          18          39         12
          18          59          6
          18          64         39
          18         100         39
          18         114          3
          19         255          3
          19         279         46
          19         442         16
          20          66          8
          20          81          6
          20         107         18
          20         165         14
          20         534         14
          21          14         32
          21          45         13
          21          46         39
          21          52         20
          21          55          9
          21          66          9
          21          67         90
          21          73         45
          21          76         11
          21          93         38
          21         120         52
          21         173         17
          21         175         13
          21         271         11
          21         278         77
          21         463          5
          22           6         26
          22          40         81
          22          43         38
          22          48         20
          22          65         17
          22          67         22
          22          71         26
          22          72         25
          22          89         39
          22         264         31
          22         279         17
          23          43         48
          23         542         23
          24          72         83
          25          14         13
          25          17         16
          25          43         42
          25          63         12
          25          77          6
          25         120         16
          25         166         14
          26          65         15
          26          67         11
          26          70          7
          26          73         15
          26          90         10
          26          96          3
          26         164         24
          26         243          4
          29          15         16
          29          65         16
          29         277         39
          30          81        102
          32          39          4
          33          45         36
          34           1          4
          34          46         34
          34          70         24
          34          76         13
          34         120         23
          34         186         17
          34         391         10
          35          46         29
          35          67         56
          35          70          7
          35          72         32
          36          70         20
          36          76         19
          36          89         13
          36         100         19
          36         268          7
          37          69         51
          37          77         40
          37          89         59
          37         270         23
          37         534         11
          38          59         98
          38          73         19
          38          96         15
          38         268         28
          38         280         12
          39         165         15
          40          70         14
          40         105         42
          40         191         24
          40         251         19
          40         265         15
          40         278         40
          41          24         23
          41          60         15
          41          63         15
          41          77         21
          41         124         38
          41         277          6
          41         279         35
          41         280         11
          42          36         24
          42          59         40
          42          66         53
          42          71         10
          42          96         95
          42         186         15
          42         271         30
          42         277         19
          42         279         65
          42         298         10
          43          37         25
          43          38         16
          43          62         18
          43          64          4
          43          73          3
          44          37         18
          44          55          3
          44          57          3
          44          72         13
          45          40         41
          45          64         14
          45          69        130
          45         191          5
          45         202         17
          45         204          5
          45         273         21
          46          63          6
          46         179         29
          46         205         13
          46         211         27
          46         278         32
          46         537         31
          47          61         33
          47          65          6
          47          72         73
          47          76         21
          48          15        125
          48          70         22
          49          66         35
          49          98        173
          50          17         13
          50          44         25
          50          46         21
          50          55         14
          50          65         25
          50          68         12
          50          99         39
          50         170         22
          50         203         17
          50         264         36
          51          65         11
          51          66         23
          51          81         26
