Fri Feb 28 2025 12:11:06 GMT-0500 (Eastern Standard Time) - Run Time: 3217ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In W, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
           1           1         43
           1           2         11
           1          15          5
           1         253         19
           1         254         80
           1         255         29
           2          47         14
           7           7          8
          11           6         75
          11          15         11
          11          26         36
          14          14         82
          14          29         17
          15           9         59
          15          11         11
          15          14         60
          15          16         20
          15          25         11
          15          26         74
          15          34         64
          15          80         25
          15         254         15
          16          14         14
          16          16         38
          16          29          6
          16          37          5
          16          38         47
          16          47         15
          16          98         12
          16         271          6
          17          14         63
          17          16         15
          17          18          5
          17          19         13
          17          20         22
          17          29          5
          17          35         58
          17         269         27
          17         272         77
          18          14         41
          18          16          8
          18          18        157
          18          19         16
          18          20         12
          18          23         45
          18          52         16
          18         283         44
          19          14          3
          19          15          9
          19          19         56
          19          20         21
          19          21        101
          19          43          3
          19         205         13
          19         272         55
          20          19        100
          20          20         24
          20          21          9
          20          48          3
          20          52          6
          20          98          8
          21          19        126
          21          20         96
          21          21        173
          21          22         23
          21          36         21
          21          40          5
          21          42         26
          21          43         55
          21          45         11
          21          46         35
          21          48         63
          21          52         35
          21          66         28
          21          69         27
          21         205          5
          21         272         19
          21         283         39
          22          19         28
          22          20         39
          22          21        156
          22          22          6
          22          23          3
          22          36         21
          22          40         11
          22          44         12
          22          45         22
          22          46         21
          22          47         36
          22          48         15
          22          65         28
          22          66        160
          22          69         22
          22         205         21
          23          16          5
          23          18         92
          23          19         27
          23          22         81
          23          23        144
          23          25         29
          23          37          5
          23          42         24
          23          48         24
          23          52        161
          23          97         13
          24          15         35
          24          22          5
          24          24        109
          24          25         46
          24          26         11
          24          36        126
          24          52         32
          24          53        165
          24          65        131
          24          66         11
          24          69         55
          24          76         15
          25          14         64
          25          15        142
          25          16         29
          25          25         66
          25          26         47
          25          29         24
          25          34         18
          25          35        109
          25          36         78
          25          37         28
          25          59          7
          25          67         37
          25          68          7
          26           9          8
          26          14         93
          26          15         24
          26          16          8
          26          24         24
          26          25          3
          26          26        108
          26          29         32
          26          31         15
          26          34          6
          26          35         15
          26          36         16
          26          48         13
          26          67         19
          27          76         43
          28          26         29
          28          29         30
          28          35         36
          28          36         21
          28          65         20
          29          31         11
          30          80         20
          31          12         15
          34          14         60
          34          15         21
          34          25         47
          34          26        109
          34          29         15
          34          34         39
          34          36         52
          34          37         41
          34          48          6
          34          56         42
          34          59         48
          34          62          7
          34          64         57
          34          66         37
          34          67         21
          35          15         16
          35          26         29
          35          34        115
          35          36         41
          35          55         18
          35          59        128
          35          66         20
          35          70         18
          35          95         29
          36          15         18
          36          25         15
          36          34         13
          36          35         22
          36          36         23
          36          37         54
          36          48         24
          36          51          7
          36          52         34
          36          62         26
          36          86         19
          36         211         16
          37          34         23
          37          37         52
          37          38         17
          37          39         44
          37          42        104
          37          52         48
          37          55         36
          37          57         33
          37          62         36
          37          66         23
          37          68         30
          37          91         15
          38          19         51
          38          36         50
          38          37         24
          38          40         26
          38          43         33
          38          48        115
          38          65         31
          38          66         31
          38          67         27
          38          68         38
          38          70         24
          38          91         17
          38          93         13
          38         268         13
          38         283         20
          39           6         38
          39          23         14
          39          24         16
          39          37         78
          39          39         39
          39          47         18
          39          48         15
          39          50         77
          39          56         16
          40          20         18
          40          21         10
          40          23         13
          40          24         25
          40          39         18
