"","GeoUID_DA","GeoUID_CT","NID","N_name","CLASSIF9"
"1","35200002","5350378.28","144","Morningside Heights","Not an NIA or Emerging Neighbourhood"
"2","35200003","5350378.28","144","Morningside Heights","Not an NIA or Emerging Neighbourhood"
"3","35200004","5350378.28","144","Morningside Heights","Not an NIA or Emerging Neighbourhood"
"4","35200005","5350378.28","144","Morningside Heights","Not an NIA or Emerging Neighbourhood"
"5","35200006","5350378.28","144","Morningside Heights","Not an NIA or Emerging Neighbourhood"
"6","35200007","5350378.28","144","Morningside Heights","Not an NIA or Emerging Neighbourhood"
"7","35200009","5350378.17","146","Malvern East","Emerging Neighbourhood"
"8","35200010","5350378.17","146","Malvern East","Emerging Neighbourhood"
"9","35200012","5350378.17","146","Malvern East","Emerging Neighbourhood"
"10","35200013","5350378.17","146","Malvern East","Emerging Neighbourhood"
"11","35200018","5350378.12","146","Malvern East","Emerging Neighbourhood"
"12","35200028","5350378.05","146","Malvern East","Emerging Neighbourhood"
"13","35200029","5350378.05","146","Malvern East","Emerging Neighbourhood"
"14","35200030","5350378.05","146","Malvern East","Emerging Neighbourhood"
"15","35200031","5350378.05","146","Malvern East","Emerging Neighbourhood"
"16","35200032","5350378.05","146","Malvern East","Emerging Neighbourhood"
"17","35200033","5350378.03","146","Malvern East","Emerging Neighbourhood"
"18","35200034","5350378.03","146","Malvern East","Emerging Neighbourhood"
"19","35200035","5350378.03","146","Malvern East","Emerging Neighbourhood"
"20","35200036","5350378.03","146","Malvern East","Emerging Neighbourhood"
"21","35200037","5350378.12","146","Malvern East","Emerging Neighbourhood"
"22","35200039","5350378.12","146","Malvern East","Emerging Neighbourhood"
"23","35200041","5350378.11","145","Malvern West","Emerging Neighbourhood"
"24","35200042","5350378.03","146","Malvern East","Emerging Neighbourhood"
"25","35200043","5350378.03","146","Malvern East","Emerging Neighbourhood"
"26","35200044","5350378.03","146","Malvern East","Emerging Neighbourhood"
"27","35200046","5350378.04","145","Malvern West","Emerging Neighbourhood"
"28","35200047","5350378.04","145","Malvern West","Emerging Neighbourhood"
"29","35200048","5350378.04","145","Malvern West","Emerging Neighbourhood"
"30","35200049","5350378.04","145","Malvern West","Emerging Neighbourhood"
"31","35200050","5350378.04","145","Malvern West","Emerging Neighbourhood"
"32","35200051","5350378.04","145","Malvern West","Emerging Neighbourhood"
"33","35200052","5350378.04","145","Malvern West","Emerging Neighbourhood"
"34","35200053","5350378.04","145","Malvern West","Emerging Neighbourhood"
"35","35200054","5350378.04","145","Malvern West","Emerging Neighbourhood"
"36","35200055","5350378.11","145","Malvern West","Emerging Neighbourhood"
"37","35200056","5350378.06","145","Malvern West","Emerging Neighbourhood"
"38","35200057","5350378.06","145","Malvern West","Emerging Neighbourhood"
"39","35200058","5350378.06","145","Malvern West","Emerging Neighbourhood"
"40","35200062","5350378.06","145","Malvern West","Emerging Neighbourhood"
"41","35200064","5350378.24","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"42","35200065","5350378.24","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"43","35200066","5350378.24","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"44","35200067","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"45","35200068","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"46","35200069","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"47","35200070","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"48","35200071","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"49","35200072","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"50","35200073","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"51","35200074","5350378.14","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"52","35200078","5350378.23","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"53","35200079","5350378.23","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"54","35200080","5350378.23","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"55","35200082","5350378.24","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"56","35200085","5350378.23","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"57","35200086","5350378.23","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"58","35200087","5350377.03","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"59","35200088","5350377.03","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"60","35200089","5350377.03","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"61","35200090","5350377.03","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"62","35200091","5350377.03","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"63","35200092","5350377.08","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"64","35200093","5350377.08","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"65","35200094","5350376.06","130","Milliken","Not an NIA or Emerging Neighbourhood"
"66","35200095","5350377.04","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"67","35200096","5350377.04","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"68","35200097","5350377.04","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"69","35200099","5350377.04","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"70","35200100","5350377.04","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"71","35200101","5350377.04","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"72","35200102","5350378.14","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"73","35200103","5350378.14","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"74","35200104","5350378.21","130","Milliken","Not an NIA or Emerging Neighbourhood"
"75","35200105","5350378.21","130","Milliken","Not an NIA or Emerging Neighbourhood"
"76","35200106","5350378.21","130","Milliken","Not an NIA or Emerging Neighbourhood"
"77","35200107","5350378.21","130","Milliken","Not an NIA or Emerging Neighbourhood"
"78","35200108","5350378.22","130","Milliken","Not an NIA or Emerging Neighbourhood"
"79","35200109","5350378.22","130","Milliken","Not an NIA or Emerging Neighbourhood"
"80","35200110","5350378.22","130","Milliken","Not an NIA or Emerging Neighbourhood"
"81","35200111","5350378.22","130","Milliken","Not an NIA or Emerging Neighbourhood"
"82","35200112","5350377.06","130","Milliken","Not an NIA or Emerging Neighbourhood"
"83","35200114","5350377.06","130","Milliken","Not an NIA or Emerging Neighbourhood"
"84","35200115","5350377.07","130","Milliken","Not an NIA or Emerging Neighbourhood"
"85","35200116","5350377.07","130","Milliken","Not an NIA or Emerging Neighbourhood"
"86","35200117","5350377.06","130","Milliken","Not an NIA or Emerging Neighbourhood"
"87","35200118","5350377.06","130","Milliken","Not an NIA or Emerging Neighbourhood"
"88","35200119","5350377.06","130","Milliken","Not an NIA or Emerging Neighbourhood"
"89","35200120","5350377.07","130","Milliken","Not an NIA or Emerging Neighbourhood"
"90","35200121","5350377.07","130","Milliken","Not an NIA or Emerging Neighbourhood"
"91","35200123","5350377.07","130","Milliken","Not an NIA or Emerging Neighbourhood"
"92","35200124","5350377.04","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"93","35200125","5350377.04","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"94","35200126","5350378.22","130","Milliken","Not an NIA or Emerging Neighbourhood"
"95","35200127","5350378.22","130","Milliken","Not an NIA or Emerging Neighbourhood"
"96","35200128","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"97","35200133","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"98","35200134","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"99","35200135","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"100","35200136","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"101","35200137","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"102","35200138","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"103","35200139","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"104","35200140","5350378.19","130","Milliken","Not an NIA or Emerging Neighbourhood"
"105","35200141","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"106","35200142","5350378.08","129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"107","35200143","5350376.02","148","East L'Amoreaux","Emerging Neighbourhood"
"108","35200144","5350376.02","148","East L'Amoreaux","Emerging Neighbourhood"
"109","35200145","5350376.02","148","East L'Amoreaux","Emerging Neighbourhood"
"110","35200146","5350376.02","148","East L'Amoreaux","Emerging Neighbourhood"
"111","35200147","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"112","35200148","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"113","35200149","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"114","35200150","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"115","35200161","5350376.12","147","L'Amoreaux West","Emerging Neighbourhood"
"116","35200162","5350376.12","147","L'Amoreaux West","Emerging Neighbourhood"
"117","35200163","5350376.12","147","L'Amoreaux West","Emerging Neighbourhood"
"118","35200164","5350376.12","147","L'Amoreaux West","Emerging Neighbourhood"
"119","35200165","5350376.04","116","Steeles","Emerging Neighbourhood"
"120","35200166","5350376.04","116","Steeles","Emerging Neighbourhood"
"121","35200167","5350376.04","116","Steeles","Emerging Neighbourhood"
"122","35200173","5350376.09","116","Steeles","Emerging Neighbourhood"
"123","35200174","5350376.09","116","Steeles","Emerging Neighbourhood"
"124","35200175","5350376.09","116","Steeles","Emerging Neighbourhood"
"125","35200176","5350376.09","116","Steeles","Emerging Neighbourhood"
"126","35200177","5350376.09","116","Steeles","Emerging Neighbourhood"
"127","35200178","5350376.04","116","Steeles","Emerging Neighbourhood"
"128","35200179","5350376.04","116","Steeles","Emerging Neighbourhood"
"129","35200180","5350376.11","147","L'Amoreaux West","Emerging Neighbourhood"
"130","35200181","5350302.03","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"131","35200182","5350302.03","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"132","35200183","5350302.03","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"133","35200186","5350302.03","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"134","35200187","5350302.03","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"135","35200188","5350302.02","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"136","35200189","5350302.02","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"137","35200190","5350302.02","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"138","35200193","5350302.01","046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"139","35200196","5350375.01","147","L'Amoreaux West","Emerging Neighbourhood"
"140","35200197","5350375.05","147","L'Amoreaux West","Emerging Neighbourhood"
"141","35200198","5350375.05","147","L'Amoreaux West","Emerging Neighbourhood"
"142","35200199","5350375.05","147","L'Amoreaux West","Emerging Neighbourhood"
"143","35200200","5350375.05","147","L'Amoreaux West","Emerging Neighbourhood"
"144","35200201","5350375.05","147","L'Amoreaux West","Emerging Neighbourhood"
"145","35200202","5350375.04","148","East L'Amoreaux","Emerging Neighbourhood"
"146","35200203","5350375.04","148","East L'Amoreaux","Emerging Neighbourhood"
"147","35200204","5350375.04","148","East L'Amoreaux","Emerging Neighbourhood"
"148","35200205","5350375.04","148","East L'Amoreaux","Emerging Neighbourhood"
"149","35200206","5350375.04","148","East L'Amoreaux","Emerging Neighbourhood"
"150","35200207","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"151","35200208","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"152","35200209","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"153","35200210","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"154","35200211","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"155","35200212","5350376.01","148","East L'Amoreaux","Emerging Neighbourhood"
"156","35200213","5350376.15","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"157","35200214","5350377.08","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"158","35200215","5350377.02","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"159","35200216","5350377.02","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"160","35200217","5350377.02","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"161","35200218","5350377.02","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"162","35200219","5350377.08","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"163","35200220","5350377.08","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"164","35200221","5350377.09","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"165","35200222","5350377.08","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"166","35200223","5350377.08","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"167","35200224","5350377.08","128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"168","35200232","5350374.03","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"169","35200233","5350374.03","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"170","35200234","5350374.03","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"171","35200235","5350374.02","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"172","35200236","5350374.02","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"173","35200237","5350374.03","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"174","35200238","5350374.03","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"175","35200239","5350374.03","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"176","35200242","5350374.02","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"177","35200243","5350374.02","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"178","35200244","5350374.02","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"179","35200245","5350374.02","118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
